date,vemquartile,outcome,value,type
2021-06-28,3,cases,-97.80776656060189,counterfactual
2021-06-28,3,hosps,-0.7811465569775575,counterfactual
2021-06-28,3,deaths,5.660843513641733,counterfactual
2021-06-28,4,cases,-573.0356783795038,counterfactual
2021-06-28,4,hosps,-43.90088762989741,counterfactual
2021-06-28,4,deaths,2.580345713708372,counterfactual
2021-07-05,1,cases,4914.257390343741,counterfactual
2021-07-05,1,hosps,366.19694578370206,counterfactual
2021-07-05,1,deaths,25.73203092136597,counterfactual
2021-07-05,2,cases,1369.5506465882036,counterfactual
2021-07-05,2,hosps,51.76342169527485,counterfactual
2021-07-05,2,deaths,5.011192853279022,counterfactual
2021-07-05,3,cases,-202.0568569904285,counterfactual
2021-07-05,3,hosps,-18.261495572254624,counterfactual
2021-07-05,3,deaths,-2.2211942835681433,counterfactual
2021-07-05,4,cases,-1426.0605309466664,counterfactual
2021-07-05,4,hosps,-92.56754582531471,counterfactual
2021-07-05,4,deaths,-16.5940138666138,counterfactual
2021-07-12,1,cases,8239.172476402617,counterfactual
2021-07-12,1,hosps,585.7408166595438,counterfactual
